match_id,SetNo,GameNo,SetWinP,G_Winner,G_P1GmWon,G_P2GmWon,G_Ser,G_P1Ace,G_P2Ace,G_P1Wn,G_P2Wn,G_P1Df,G_P2Df,G_P1UE,G_P2UE,G_P1NP,G_P2NP,G_P1NPW,G_P2NPW,G_P1BP,G_P2BP,G_P1BPWon,G_P2BPWon,G_P1FW,G_P1BW,G_P2FW,G_P2BW,G_P1SerW,G_P2SerW,G_avg_SerSp,G_totalPoints
2011-ausopen-1115,3,1,2,1,1,0,2,0,0,0,1,0,0,0,4,0,1,0,0,1,0,1,0,0,0,0,0,0,0,163.2,5
2011-ausopen-1115,3,10,2,1,5,5,2,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.16666666666666,6
2011-ausopen-1115,3,11,2,2,5,6,2,0,0,1,2,0,0,0,2,2,3,1,2,0,0,0,0,0,0,0,0,0,0,160.94966293192013,8
2011-ausopen-1115,3,12,2,2,5,7,2,0,0,1,1,0,0,3,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,155.5,8
2011-ausopen-1115,3,2,2,1,2,0,2,0,0,2,0,0,0,1,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,155.07466293192013,8
2011-ausopen-1115,3,3,2,2,2,1,2,0,1,1,2,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,166.625,8
2011-ausopen-1115,3,4,2,1,3,1,2,0,0,1,0,0,0,1,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,165.0,10
2011-ausopen-1115,3,5,2,1,4,1,2,0,0,1,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,163.75,4
2011-ausopen-1115,3,6,2,2,4,2,2,0,0,0,0,2,0,4,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,159.8389213821444,5
2011-ausopen-1115,3,7,2,2,4,3,2,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.5194606910722,5
2011-ausopen-1115,3,8,2,2,4,4,2,0,0,0,2,0,0,2,1,2,1,1,1,0,1,0,1,0,0,0,0,0,0,153.66666666666666,6
2011-ausopen-1115,3,9,2,2,4,5,2,0,1,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,176.0,4
2011-ausopen-1124,1,1,1,2,0,1,2,0,0,0,1,0,0,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,177.5194606910722,5
2011-ausopen-1124,1,10,1,1,6,4,2,0,0,3,1,0,0,1,0,2,3,2,1,0,0,0,0,0,0,0,0,0,0,195.16666666666666,6
2011-ausopen-1124,1,2,1,1,1,1,2,1,0,2,0,0,0,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,168.66666666666666,6
2011-ausopen-1124,1,3,1,2,1,2,2,0,2,3,6,0,2,1,8,1,9,1,6,7,0,0,0,0,0,0,0,0,0,170.4781862079087,28
2011-ausopen-1124,1,4,1,1,2,2,2,1,0,2,0,0,0,3,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,183.25,8
2011-ausopen-1124,1,5,1,2,2,3,2,0,0,1,2,0,0,1,0,2,3,1,2,0,0,0,0,0,0,0,0,0,0,172.2,5
