match_id,SetNo,GameNo,SetWinP,G_Winner,G_P1GmWon,G_P2GmWon,G_Ser,G_P1Ace,G_P2Ace,G_P1Wn,G_P2Wn,G_P1Df,G_P2Df,G_P1UE,G_P2UE,G_P1NP,G_P2NP,G_P1NPW,G_P2NPW,G_P1BP,G_P2BP,G_P1BPWon,G_P2BPWon,G_P1FW,G_P1BW,G_P2FW,G_P2BW,G_P1SerW,G_P2SerW,G_avg_SerSp,G_totalPoints
2011-ausopen-1113,1,1,2,1,1,0,2,0,0,2,0,0,0,1,0,3,0,2,0,0,4,0,0,0,0,0,0,0,0,169.08333333333334,12
2011-ausopen-1113,1,2,2,2,1,1,2,0,0,0,3,0,1,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,163.43288390922683,6
2011-ausopen-1113,1,3,2,1,2,1,2,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,175.4,5
2011-ausopen-1113,1,4,2,2,2,2,2,0,0,1,0,0,0,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,156.375,8
2011-ausopen-1113,1,5,2,2,2,3,2,0,0,1,1,1,0,3,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,163.76621724256017,6
2011-ausopen-1113,1,6,2,2,2,4,2,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,146.5,4
2011-ausopen-1113,1,7,2,1,3,4,2,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177.6,5
2011-ausopen-1113,1,8,2,2,3,5,2,0,1,0,2,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,173.5,6
2011-ausopen-1113,1,9,2,2,3,6,2,1,0,1,2,0,0,1,1,1,1,0,1,0,2,0,1,0,0,0,0,0,0,168.33333333333334,6
2011-ausopen-1113,3,1,2,1,1,0,2,0,0,2,0,0,0,2,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,155.16666666666666,6
2011-ausopen-1113,3,2,2,1,2,0,2,2,0,2,1,0,0,3,2,0,3,0,2,0,2,0,0,0,0,0,0,0,0,167.78571428571428,14
2011-ausopen-1113,3,3,2,2,2,1,2,0,1,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,158.6,5
2011-ausopen-1113,3,4,2,2,2,2,2,0,0,0,1,0,0,3,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,168.83333333333334,6
2011-ausopen-1113,3,5,2,2,2,3,2,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.75,4
2011-ausopen-1113,3,6,2,2,2,4,2,0,0,0,1,1,0,3,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,169.8657678184537,6
2011-ausopen-1113,3,7,2,2,2,5,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.0,4
2011-ausopen-1113,3,8,2,1,3,5,2,1,0,3,1,0,0,1,0,2,1,1,1,0,2,0,0,0,0,0,0,0,0,172.125,8
2011-ausopen-1113,3,9,2,2,3,6,2,0,0,1,2,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,177.33333333333334,6
2011-ausopen-1116,3,1,1,1,1,0,2,0,0,1,1,0,0,1,1,3,0,3,0,1,0,1,0,0,0,0,0,0,0,166.125,8
2011-ausopen-1116,3,2,1,1,2,0,2,0,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,194.0,4
2011-ausopen-1116,3,3,1,1,3,0,2,0,0,4,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,171.59955057589352,6
