match_id,SetNo,GameNo,SetWinP,G_Winner,G_P1GmWon,G_P2GmWon,G_Ser,G_P1Ace,G_P2Ace,G_P1Wn,G_P2Wn,G_P1Df,G_P2Df,G_P1UE,G_P2UE,G_P1NP,G_P2NP,G_P1NPW,G_P2NPW,G_P1BP,G_P2BP,G_P1BPWon,G_P2BPWon,G_P1FW,G_P1BW,G_P2FW,G_P2BW,G_P1SerW,G_P2SerW,G_avg_SerSp,G_totalPoints
2011-ausopen-1108,3,1,2,2,0,1,2,0,0,0,1,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,163.0,5
2011-ausopen-1108,3,2,2,2,0,2,2,0,0,0,1,0,0,0,0,2,0,1,0,0,2,0,1,0,0,0,0,0,0,147.5,6
2011-ausopen-1108,3,3,2,2,0,3,2,0,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,174.0,5
2011-ausopen-1108,3,4,2,1,1,3,2,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,162.0,5
2011-ausopen-1108,3,5,2,2,1,4,2,0,1,0,4,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,171.4,5
2011-ausopen-1108,3,6,2,2,1,5,2,0,0,0,2,0,0,2,1,1,2,1,2,0,2,0,1,0,0,0,0,0,0,154.875,8
2011-ausopen-1108,3,7,2,2,1,6,2,0,0,0,2,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,173.4,5
2011-ausopen-1112,3,1,2,1,1,0,2,0,0,1,1,0,0,0,1,0,6,0,2,3,0,1,0,0,0,0,0,0,0,169.83333333333334,6
2011-ausopen-1112,3,2,2,1,2,0,2,0,0,1,1,1,0,2,2,0,3,0,0,0,1,0,0,0,0,0,0,0,0,158.02432586384026,8
2011-ausopen-1112,3,3,2,2,2,1,2,0,0,0,3,0,1,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,176.82466293192013,8
2011-ausopen-1112,3,4,2,2,2,2,2,0,0,0,3,1,0,3,3,1,3,0,1,0,2,0,1,0,0,0,0,0,0,155.5194606910722,10
2011-ausopen-1112,3,5,2,2,2,3,2,0,0,0,2,0,0,2,1,1,7,0,4,0,0,0,0,0,0,0,0,0,0,158.8,10
2011-ausopen-1112,3,6,2,2,2,4,2,0,0,2,2,1,0,1,0,2,3,1,2,0,1,0,1,0,0,0,0,0,0,165.93288390922683,6
2011-ausopen-1112,3,7,2,2,2,5,2,0,1,0,5,0,2,0,3,2,6,1,4,2,0,0,0,0,0,0,0,0,0,175.4791910366083,10
2011-ausopen-1112,3,8,2,2,2,6,2,0,0,0,2,0,0,2,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,162.8,5
2011-ausopen-1153,1,1,1,1,1,0,2,0,0,1,0,0,0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,165.03243448512035,6
2011-ausopen-1153,1,10,1,2,5,5,2,0,0,0,1,0,0,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,186.2,5
2011-ausopen-1153,1,11,1,1,6,5,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.8,5
2011-ausopen-1153,1,12,1,2,6,6,2,0,0,0,1,0,1,1,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,165.09955057589352,6
2011-ausopen-1153,1,13,1,1,7,6,2,1,0,3,1,0,0,2,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,183.5194606910722,10
2011-ausopen-1153,1,2,1,2,1,1,2,0,1,0,2,0,0,2,5,1,2,0,2,0,0,0,0,0,0,0,0,0,0,167.18552167538292,14
2011-ausopen-1153,1,3,1,2,1,2,2,0,0,1,1,1,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,155.76621724256017,6
2011-ausopen-1153,1,4,1,2,1,3,2,0,1,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,177.2,5
2011-ausopen-1153,1,5,1,1,2,3,2,0,0,2,1,1,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,167.93892138214443,10
2011-ausopen-1153,1,6,1,1,3,3,2,0,0,0,1,0,0,1,5,1,2,0,1,2,0,1,0,0,0,0,0,0,0,176.625,8
2011-ausopen-1153,1,7,1,1,4,3,2,0,0,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,161.3194606910722,5
2011-ausopen-1153,1,8,1,2,4,4,2,0,1,1,2,0,0,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,164.699101151787,6
2011-ausopen-1153,1,9,1,1,5,4,2,1,0,3,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,171.8,5
2011-ausopen-1205,4,1,2,2,0,1,2,0,0,0,1,0,0,2,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,153.2,5
2011-ausopen-1205,4,10,2,2,4,6,2,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,182.4,5
2011-ausopen-1205,4,2,2,2,0,2,2,0,1,1,2,0,0,1,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,169.0,8
2011-ausopen-1205,4,3,2,1,1,2,2,0,0,2,0,0,0,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,160.8,5
