match_id,SetNo,GameNo,SetWinP,G_Winner,G_P1GmWon,G_P2GmWon,G_Ser,G_P1Ace,G_P2Ace,G_P1Wn,G_P2Wn,G_P1Df,G_P2Df,G_P1UE,G_P2UE,G_P1NP,G_P2NP,G_P1NPW,G_P2NPW,G_P1BP,G_P2BP,G_P1BPWon,G_P2BPWon,G_P1FW,G_P1BW,G_P2FW,G_P2BW,G_P1SerW,G_P2SerW,G_avg_SerSp,G_totalPoints
2011-ausopen-1117,3,1,1,1,1,0,2,0,0,1,0,0,0,1,3,0,0,0,0,2,0,1,0,0,0,0,0,0,0,150.6,5
2011-ausopen-1117,3,2,1,1,2,0,2,2,0,3,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,193.25,4
2011-ausopen-1117,3,3,1,1,3,0,2,0,0,1,0,0,0,0,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,167.5,4
2011-ausopen-1117,3,4,1,1,4,0,2,3,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188.25,4
2011-ausopen-1117,3,5,1,2,4,1,2,0,0,2,2,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,172.5,8
2011-ausopen-1117,3,6,1,1,5,1,2,1,0,3,2,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,177.5,8
2011-ausopen-1117,3,7,1,2,5,2,2,0,1,0,1,0,1,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,163.26621724256017,6
2011-ausopen-1117,3,8,1,1,6,2,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186.0,4
2011-ausopen-1124,4,1,2,2,0,1,2,0,0,0,2,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,179.2,5
2011-ausopen-1124,4,2,2,1,1,1,2,0,0,1,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,163.0,5
