match_id,SetNo,GameNo,SetWinP,G_Winner,G_P1GmWon,G_P2GmWon,G_Ser,G_P1Ace,G_P2Ace,G_P1Wn,G_P2Wn,G_P1Df,G_P2Df,G_P1UE,G_P2UE,G_P1NP,G_P2NP,G_P1NPW,G_P2NPW,G_P1BP,G_P2BP,G_P1BPWon,G_P2BPWon,G_P1FW,G_P1BW,G_P2FW,G_P2BW,G_P1SerW,G_P2SerW,G_avg_SerSp,G_totalPoints
2011-ausopen-1103,1,1,1,1,1,0,2,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,168.0,6
2011-ausopen-1103,1,2,1,2,1,1,2,0,0,0,2,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,186.66666666666666,6
2011-ausopen-1103,1,3,1,1,2,1,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.6,5
2011-ausopen-1103,1,4,1,2,2,2,2,0,1,0,3,0,1,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,190.3194606910722,5
2011-ausopen-1103,1,5,1,1,3,2,2,0,0,2,0,1,0,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,180.43892138214443,5
2011-ausopen-1103,1,6,1,1,4,2,2,0,0,1,0,0,0,0,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,178.11946069107222,5
2011-ausopen-1103,1,7,1,1,5,2,2,0,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,170.6,5
2011-ausopen-1103,1,8,1,2,5,3,2,0,2,0,3,0,1,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,194.3597303455361,10
2011-ausopen-1103,1,9,1,1,6,3,2,0,0,2,0,0,0,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,174.699101151787,6
2011-ausopen-1128,4,1,1,1,1,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161.43288390922683,6
2011-ausopen-1128,4,10,1,1,6,4,2,0,0,1,0,0,0,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,155.5,6
2011-ausopen-1128,4,2,1,2,1,1,2,0,1,0,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,165.64932586384026,4
2011-ausopen-1128,4,3,1,2,1,2,2,0,0,0,1,0,0,2,0,1,1,1,0,0,2,0,1,0,0,0,0,0,0,145.83333333333334,6
2011-ausopen-1128,4,4,1,1,2,2,2,0,0,1,0,0,0,0,2,0,1,0,1,3,0,1,0,0,0,0,0,0,0,181.5,6
