match_id,SetNo,GameNo,SetWinP,G_Winner,G_P1GmWon,G_P2GmWon,G_Ser,G_P1Ace,G_P2Ace,G_P1Wn,G_P2Wn,G_P1Df,G_P2Df,G_P1UE,G_P2UE,G_P1NP,G_P2NP,G_P1NPW,G_P2NPW,G_P1BP,G_P2BP,G_P1BPWon,G_P2BPWon,G_P1FW,G_P1BW,G_P2FW,G_P2BW,G_P1SerW,G_P2SerW,G_avg_SerSp,G_totalPoints
2011-ausopen-1114,3,1,1,1,1,0,2,0,1,1,2,0,0,0,3,1,0,0,0,2,0,1,0,0,0,0,0,0,0,172.5,6
2011-ausopen-1114,3,10,1,2,5,5,2,0,0,2,0,1,0,4,0,2,1,2,0,0,1,0,1,0,0,0,0,0,0,178.09955057589352,6
2011-ausopen-1114,3,11,1,1,6,5,2,0,0,2,0,0,0,2,2,1,0,1,0,1,0,1,0,0,0,0,0,0,0,162.66666666666666,6
2011-ausopen-1114,3,12,1,1,7,5,2,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183.0,5
2011-ausopen-1114,3,2,1,2,1,1,2,0,0,0,2,0,0,3,1,1,2,0,2,0,1,0,1,0,0,0,0,0,0,166.75,8
2011-ausopen-1114,3,3,1,2,1,2,2,0,0,1,1,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,166.8,5
2011-ausopen-1114,3,4,1,1,2,2,2,0,0,0,1,0,0,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,161.8,5
2011-ausopen-1114,3,5,1,2,2,3,2,0,0,0,2,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,146.75,4
2011-ausopen-1114,3,6,1,1,3,3,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181.75,4
2011-ausopen-1114,3,7,1,1,4,3,2,0,0,1,1,0,1,0,2,0,2,0,1,1,0,1,0,0,0,0,0,0,0,174.5194606910722,5
2011-ausopen-1114,3,8,1,1,5,3,2,0,0,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,177.25,4
2011-ausopen-1114,3,9,1,2,5,4,2,0,1,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,165.0,5
2011-ausopen-1126,2,1,2,2,0,1,2,0,0,0,0,0,0,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,168.33333333333334,6
2011-ausopen-1126,2,10,2,1,5,5,2,1,0,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,177.5,4
2011-ausopen-1126,2,11,2,2,5,6,2,0,0,0,0,0,1,2,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,165.76621724256017,6
2011-ausopen-1126,2,12,2,1,6,6,2,1,0,3,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,175.93288390922683,6
2011-ausopen-1126,2,13,2,2,6,7,2,0,1,2,1,1,0,2,1,5,2,3,2,0,0,0,0,0,0,0,0,0,0,164.18288390922683,12
2011-ausopen-1126,2,2,2,1,1,1,2,4,0,6,1,1,0,2,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,167.3389213821444,10
2011-ausopen-1126,2,3,2,2,1,2,2,0,1,1,1,0,1,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,168.02432586384026,8
2011-ausopen-1126,2,4,2,1,2,2,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194.0,4
2011-ausopen-1126,2,5,2,2,2,3,2,0,0,0,0,0,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,171.43288390922683,6
2011-ausopen-1126,2,6,2,1,3,3,2,2,0,4,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,179.25,4
2011-ausopen-1126,2,7,2,2,3,4,2,0,0,0,1,0,0,1,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,163.66666666666666,6
2011-ausopen-1126,2,8,2,1,4,4,2,0,0,1,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,192.16666666666666,6
