match_id,SetNo,GameNo,SetWinP,G_Winner,G_P1GmWon,G_P2GmWon,G_Ser,G_P1Ace,G_P2Ace,G_P1Wn,G_P2Wn,G_P1Df,G_P2Df,G_P1UE,G_P2UE,G_P1NP,G_P2NP,G_P1NPW,G_P2NPW,G_P1BP,G_P2BP,G_P1BPWon,G_P2BPWon,G_P1FW,G_P1BW,G_P2FW,G_P2BW,G_P1SerW,G_P2SerW,G_avg_SerSp,G_totalPoints
2011-ausopen-1101,1,1,1,1,1,0,2,0,0,0,0,0,0,0,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,144.75,4
2011-ausopen-1101,1,2,1,1,2,0,2,1,0,3,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,171.43288390922683,6
2011-ausopen-1101,1,3,1,1,3,0,2,0,0,0,0,0,0,0,4,0,1,0,0,1,0,1,0,0,0,0,0,0,0,159.2,5
2011-ausopen-1101,1,4,1,1,4,0,2,1,0,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,172.11946069107222,5
2011-ausopen-1101,1,5,1,1,5,0,2,0,0,1,0,0,0,0,3,1,0,1,0,1,0,1,0,0,0,0,0,0,0,167.5,4
2011-ausopen-1101,1,6,1,1,6,0,2,1,0,4,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,180.5,4
2011-ausopen-1140,3,1,2,2,0,1,2,0,0,5,2,1,0,5,0,3,0,2,0,0,2,0,1,0,0,0,0,0,0,148.71644195461343,12
2011-ausopen-1140,3,2,2,2,0,2,2,0,1,3,1,0,0,1,2,1,2,1,1,1,0,0,0,0,0,0,0,0,0,168.75,12
2011-ausopen-1140,3,3,2,2,0,3,2,0,0,2,3,1,0,1,1,3,0,1,0,0,1,0,1,0,0,0,0,0,0,164.94966293192013,8
2011-ausopen-1140,3,4,2,2,0,4,2,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.25,4
2011-ausopen-1140,3,5,2,1,1,4,2,1,0,4,1,0,0,2,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,156.0,10
2011-ausopen-1140,3,6,2,2,1,5,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.2,5
2011-ausopen-1140,3,7,2,1,2,5,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.5,4
2011-ausopen-1140,3,8,2,2,2,6,2,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180.25,4
2011-ausopen-1203,3,1,1,1,1,0,2,2,0,4,0,0,0,2,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,202.57466293192013,8
2011-ausopen-1203,3,2,1,2,1,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.39932586384026,4
2011-ausopen-1203,3,3,1,1,2,1,2,0,0,2,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,184.93288390922683,6
