match_id,SetNo,GameNo,SetWinP,G_Winner,G_P1GmWon,G_P2GmWon,G_Ser,G_P1Ace,G_P2Ace,G_P1Wn,G_P2Wn,G_P1Df,G_P2Df,G_P1UE,G_P2UE,G_P1NP,G_P2NP,G_P1NPW,G_P2NPW,G_P1BP,G_P2BP,G_P1BPWon,G_P2BPWon,G_P1FW,G_P1BW,G_P2FW,G_P2BW,G_P1SerW,G_P2SerW,G_avg_SerSp,G_totalPoints
2011-ausopen-1136,2,1,2,1,1,0,2,0,0,1,1,0,0,3,2,3,1,2,1,0,2,0,0,0,0,0,0,0,0,174.6,10
2011-ausopen-1136,2,10,2,2,4,6,2,0,0,0,2,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,173.8,5
2011-ausopen-1136,2,2,2,1,2,0,2,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,167.5,6
2011-ausopen-1136,2,3,2,2,2,1,2,0,0,0,3,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,150.25,4
2011-ausopen-1136,2,4,2,2,2,2,2,0,0,1,1,0,1,2,2,0,2,0,1,1,0,0,0,0,0,0,0,0,0,163.94966293192013,8
2011-ausopen-1136,2,5,2,2,2,3,2,0,0,2,2,0,0,2,0,6,0,2,0,0,2,0,1,0,0,0,0,0,0,173.125,8
2011-ausopen-1136,2,6,2,2,2,4,2,0,0,0,4,0,0,0,1,0,3,0,3,0,0,0,0,0,0,0,0,0,0,174.8,5
2011-ausopen-1136,2,7,2,1,3,4,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,161.0,4
2011-ausopen-1136,2,8,2,2,3,5,2,0,1,0,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,182.5,4
2011-ausopen-1136,2,9,2,1,4,5,2,0,0,3,0,0,0,1,1,4,1,2,0,0,1,0,0,0,0,0,0,0,0,171.3,10
2011-ausopen-1140,1,1,2,2,0,1,2,0,0,1,1,0,0,2,0,2,1,1,1,0,1,0,1,0,0,0,0,0,0,159.6,5
2011-ausopen-1140,1,2,2,2,0,2,2,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,185.5,6
2011-ausopen-1140,1,3,2,1,1,2,2,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,165.9194606910722,5
2011-ausopen-1140,1,4,2,2,1,3,2,0,0,0,3,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,182.8,5
2011-ausopen-1140,1,5,2,2,1,4,2,1,0,1,1,0,0,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,163.2,5
2011-ausopen-1140,1,6,2,2,1,5,2,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.3194606910722,5
2011-ausopen-1140,1,7,2,2,1,6,2,2,0,5,4,0,0,2,1,3,0,0,0,0,5,0,1,0,0,0,0,0,0,161.71428571428572,14
2011-ausopen-1164,1,1,2,2,0,1,2,0,1,0,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,187.0,4
