match_id,SetNo,GameNo,SetWinP,G_Winner,G_P1GmWon,G_P2GmWon,G_Ser,G_P1Ace,G_P2Ace,G_P1Wn,G_P2Wn,G_P1Df,G_P2Df,G_P1UE,G_P2UE,G_P1NP,G_P2NP,G_P1NPW,G_P2NPW,G_P1BP,G_P2BP,G_P1BPWon,G_P2BPWon,G_P1FW,G_P1BW,G_P2FW,G_P2BW,G_P1SerW,G_P2SerW,G_avg_SerSp,G_totalPoints
2011-ausopen-1127,3,1,2,1,1,0,2,0,0,2,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,140.75,4
2011-ausopen-1127,3,10,2,2,4,6,2,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183.6,5
2011-ausopen-1127,3,2,2,2,1,1,2,0,3,3,5,0,0,0,1,1,3,1,1,1,0,0,0,0,0,0,0,0,0,175.95973034553612,10
2011-ausopen-1127,3,3,2,1,2,1,2,1,0,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,151.5,4
2011-ausopen-1127,3,4,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191.25,4
2011-ausopen-1127,3,5,2,1,3,2,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.0,5
2011-ausopen-1127,3,6,2,2,3,3,2,0,0,2,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,169.0,6
2011-ausopen-1127,3,7,2,1,4,3,2,1,0,1,3,0,0,0,3,1,2,0,1,0,2,0,0,0,0,0,0,0,0,157.5,8
2011-ausopen-1127,3,8,2,2,4,4,2,0,2,0,3,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,183.5,4
2011-ausopen-1127,3,9,2,2,4,5,2,0,0,0,2,0,0,2,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,149.75,4
2011-ausopen-1149,3,1,1,2,0,1,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.25,4
2011-ausopen-1149,3,2,1,1,1,1,2,3,0,3,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,199.5,6
2011-ausopen-1149,3,3,1,2,1,2,2,0,1,0,2,0,0,1,3,0,3,0,2,1,0,0,0,0,0,0,0,0,0,166.8,10
2011-ausopen-1149,3,4,1,1,2,2,2,1,0,2,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,186.79865172768052,4
2011-ausopen-1149,3,5,1,1,3,2,2,0,0,1,1,0,0,1,4,0,2,0,1,3,0,1,0,0,0,0,0,0,0,146.5,10
2011-ausopen-1149,3,6,1,1,4,2,2,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189.03892138214442,5
2011-ausopen-1149,3,7,1,1,5,2,2,0,0,1,0,0,1,1,4,1,0,1,0,2,0,1,0,0,0,0,0,0,0,156.57466293192013,8
2011-ausopen-1149,3,8,1,1,6,2,2,2,0,4,1,0,0,4,3,1,0,1,0,0,4,0,0,0,0,0,0,0,0,189.84955057589352,12
2011-ausopen-1201,1,1,1,1,1,0,2,0,0,0,0,0,2,2,3,0,0,0,0,2,0,1,0,0,0,0,0,0,0,138.8657678184537,6
2011-ausopen-1201,1,2,1,1,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.75,4
2011-ausopen-1201,1,3,1,2,2,1,2,0,0,1,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,139.16666666666666,6
2011-ausopen-1201,1,4,1,1,3,1,2,0,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,175.11946069107222,5
2011-ausopen-1201,1,5,1,2,3,2,2,0,1,1,2,0,1,3,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,142.69966293192013,8
2011-ausopen-1201,1,6,1,1,4,2,2,2,0,3,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,198.5,4
2011-ausopen-1201,1,7,1,1,5,2,2,0,0,3,1,0,0,0,1,0,3,0,1,1,0,1,0,0,0,0,0,0,0,153.8,5
2011-ausopen-1201,1,8,1,1,6,2,2,2,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185.6,5
2011-ausopen-1202,2,1,1,2,0,1,2,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,175.89932586384026,4
