match_id,SetNo,GameNo,SetWinP,G_Winner,G_P1GmWon,G_P2GmWon,G_Ser,G_P1Ace,G_P2Ace,G_P1Wn,G_P2Wn,G_P1Df,G_P2Df,G_P1UE,G_P2UE,G_P1NP,G_P2NP,G_P1NPW,G_P2NPW,G_P1BP,G_P2BP,G_P1BPWon,G_P2BPWon,G_P1FW,G_P1BW,G_P2FW,G_P2BW,G_P1SerW,G_P2SerW,G_avg_SerSp,G_totalPoints
2011-ausopen-1112,4,1,2,2,0,1,2,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,168.8,5
2011-ausopen-1112,4,10,2,2,4,6,2,0,0,1,1,0,0,2,0,1,1,0,1,0,2,0,1,0,0,0,0,0,0,148.0,5
2011-ausopen-1112,4,2,2,1,1,1,2,0,0,1,3,0,0,0,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,161.9,10
2011-ausopen-1112,4,3,2,2,1,2,2,0,0,0,3,0,0,0,1,2,3,0,2,0,0,0,0,0,0,0,0,0,0,182.8,5
2011-ausopen-1112,4,4,2,2,1,3,2,0,0,0,2,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,156.75,4
2011-ausopen-1112,4,5,2,2,1,4,2,0,0,0,2,0,1,0,1,1,5,0,4,3,0,0,0,0,0,0,0,0,0,166.94966293192013,8
2011-ausopen-1112,4,6,2,1,2,4,2,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.43288390922683,6
2011-ausopen-1112,4,7,2,2,2,5,2,0,1,1,3,0,0,0,0,2,4,0,3,0,0,0,0,0,0,0,0,0,0,183.5194606910722,5
2011-ausopen-1112,4,8,2,1,3,5,2,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.3194606910722,5
2011-ausopen-1112,4,9,2,1,4,5,2,0,0,1,1,0,1,0,1,0,4,0,1,1,0,1,0,0,0,0,0,0,0,164.59955057589352,6
2011-ausopen-1113,2,1,1,2,0,1,2,0,0,0,1,0,0,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,164.83333333333334,6
2011-ausopen-1113,2,10,1,1,6,4,2,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,179.75,4
2011-ausopen-1113,2,2,1,1,1,1,2,0,0,1,2,0,0,1,2,3,1,2,0,0,2,0,0,0,0,0,0,0,0,160.19966293192013,8
2011-ausopen-1113,2,3,1,1,2,1,2,0,0,1,1,0,0,1,1,1,2,1,1,1,0,1,0,0,0,0,0,0,0,159.83333333333334,6
2011-ausopen-1113,2,4,1,1,3,1,2,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,167.0,5
2011-ausopen-1113,2,5,1,2,3,2,2,0,0,1,2,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,155.4,5
2011-ausopen-1113,2,6,1,1,4,2,2,0,0,2,1,0,0,3,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,163.9,10
2011-ausopen-1113,2,7,1,2,4,3,2,0,0,1,3,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,161.4,5
2011-ausopen-1113,2,8,1,1,5,3,2,0,0,2,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,159.9194606910722,5
2011-ausopen-1113,2,9,1,2,5,4,2,0,0,2,1,0,0,3,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,159.94966293192013,8
2011-ausopen-1114,1,1,1,2,0,1,2,0,0,0,0,0,0,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,159.0,6
2011-ausopen-1114,1,10,1,1,6,4,2,1,0,3,0,0,0,3,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,171.25,8
2011-ausopen-1114,1,2,1,1,1,1,2,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.66666666666666,6
2011-ausopen-1114,1,3,1,2,1,2,2,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,156.8,5
2011-ausopen-1114,1,4,1,1,2,2,2,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,170.4,5
2011-ausopen-1114,1,5,1,2,2,3,2,0,0,0,1,0,0,1,2,2,1,1,0,3,0,0,0,0,0,0,0,0,0,171.875,8
2011-ausopen-1114,1,6,1,1,3,3,2,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.6,5
2011-ausopen-1114,1,7,1,1,4,3,2,0,0,2,1,0,1,0,2,1,1,1,1,1,0,1,0,0,0,0,0,0,0,161.11946069107222,5
2011-ausopen-1114,1,8,1,1,5,3,2,0,0,1,0,0,0,4,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,183.8,10
2011-ausopen-1114,1,9,1,2,5,4,2,0,1,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,166.75,4
2011-ausopen-1115,1,1,1,2,0,1,2,0,0,1,1,0,0,2,1,1,2,1,2,0,3,0,1,0,0,0,0,0,0,164.0,6
2011-ausopen-1115,1,2,1,2,0,2,2,0,1,1,1,0,0,2,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,162.32466293192013,8
2011-ausopen-1115,1,3,1,1,1,2,2,0,0,1,1,0,0,1,3,4,1,2,1,0,1,0,0,0,0,0,0,0,0,168.25,8
2011-ausopen-1115,1,4,1,1,2,2,2,0,0,0,1,0,1,1,4,0,2,0,2,2,0,1,0,0,0,0,0,0,0,164.44966293192013,8
2011-ausopen-1115,1,5,1,1,3,2,2,0,0,1,2,0,0,1,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,163.625,8
2011-ausopen-1115,1,6,1,1,4,2,2,0,0,1,1,0,0,0,3,0,2,0,1,1,0,1,0,0,0,0,0,0,0,155.4,5
2011-ausopen-1115,1,7,1,1,5,2,2,0,0,3,1,0,0,1,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,158.375,8
2011-ausopen-1115,1,8,1,2,5,3,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.0,5
2011-ausopen-1115,1,9,1,1,6,3,2,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,159.5,4
2011-ausopen-1116,2,1,2,1,1,0,2,0,0,1,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,167.59955057589352,6
2011-ausopen-1116,2,2,2,2,1,1,2,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.699101151787,6
2011-ausopen-1116,2,3,2,1,2,1,2,1,0,3,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,179.71946069107221,5
2011-ausopen-1116,2,4,2,2,2,2,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182.0,4
2011-ausopen-1116,2,5,2,2,2,3,2,1,0,1,2,0,0,1,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,141.2,5
2011-ausopen-1116,2,6,2,2,2,4,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161.0,4
2011-ausopen-1116,2,7,2,1,3,4,2,0,0,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,168.8,5
2011-ausopen-1116,2,8,2,2,3,5,2,0,0,0,1,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,158.25,4
2011-ausopen-1116,2,9,2,2,3,6,2,0,0,1,2,0,0,2,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,173.32466293192013,8
2011-ausopen-1124,3,1,2,2,0,1,2,0,1,3,3,0,0,1,2,2,4,1,2,1,0,0,0,0,0,0,0,0,0,168.71644195461343,12
2011-ausopen-1124,3,2,2,1,1,1,2,0,0,3,0,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,170.43288390922683,6
2011-ausopen-1124,3,3,2,2,1,2,2,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,177.33333333333334,6
2011-ausopen-1124,3,4,2,2,1,3,2,0,0,1,2,1,0,1,0,1,2,1,2,0,1,0,1,0,0,0,0,0,0,179.46531839434718,6
2011-ausopen-1124,3,5,2,2,1,4,2,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,171.71946069107221,5
2011-ausopen-1124,3,6,2,1,2,4,2,2,0,2,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,165.29865172768052,6
2011-ausopen-1124,3,7,2,2,2,5,2,0,0,1,2,0,1,1,1,1,3,0,2,0,0,0,0,0,0,0,0,0,0,181.09955057589352,6
2011-ausopen-1124,3,8,2,2,2,6,2,0,0,0,2,0,0,1,0,2,1,0,1,0,2,0,1,0,0,0,0,0,0,179.4,5
2011-ausopen-1133,1,1,1,1,1,0,2,0,0,2,0,0,0,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,161.625,8
